"space","n_traits","iteration","proc_stat","mantel_r"
"LMD",16,17,0.964878849660344,0.959205295351262
"LMD",16,18,0.93510964792341,0.955518563104057
"LMD",16,19,0.929111298280495,0.948290014470733
"LMD",16,20,0.965263502829098,0.976003949930188
"LMD",17,1,0.925132947043604,0.945256502663173
"LMD",17,2,0.944996540629829,0.952397924850058
"LMD",17,3,0.932828129628552,0.949551417198698
"LMD",17,4,0.896817582717526,0.903474810796916
"LMD",17,5,0.945475434065434,0.958614230066973
"LMD",17,6,0.972497608585497,0.982857469362225
"LMD",17,7,0.96476091162911,0.97844931674466
"LMD",17,8,0.958332671022574,0.965183542260175
"LMD",17,9,0.892510305270906,0.906838311724072
"LMD",17,10,0.981634195873525,0.981274579520108
"LMD",17,11,0.989828379230955,0.984604595553586
"LMD",17,12,0.950993855886091,0.964661185293747
"LMD",17,13,0.961995529512119,0.966561906106192
"LMD",17,14,0.961570637893446,0.96589479869605
"LMD",17,15,0.911335653582519,0.899625976414451
"LMD",17,16,0.970218342779285,0.988261698018336
"LMD",17,17,0.927123115991732,0.940031637846125
"LMD",17,18,0.89303875294319,0.902332149929166
"LMD",17,19,0.975575557139554,0.976823599830713
"LMD",17,20,0.980464752309982,0.979468523480563
"LMD",18,1,0.98327558234253,0.989817886751565
"LMD",18,2,0.969154273595848,0.972092703493736
"LMD",18,3,0.939042156449752,0.953821547300133
"LMD",18,4,0.989486650088299,0.986642518316288
"LMD",18,5,0.968802224943264,0.980081738752669
"LMD",18,6,0.973205516774229,0.986199641940421
"LMD",18,7,0.963400621794782,0.97171563645304
"LMD",18,8,0.960639909590382,0.965838093050773
"LMD",18,9,0.969613693648001,0.985839807074019
"LMD",18,10,0.979035436217019,0.9838706616768
"LMD",18,11,0.96466684450299,0.970164108013256
"LMD",18,12,0.968549904933646,0.972206592094633
"LMD",18,13,0.894669903836992,0.921860264888824
"LMD",18,14,0.967657968056089,0.968717654055481
"LMD",18,15,0.974862979944851,0.989469663710761
"LMD",18,16,0.971275542379638,0.974351560233277
"LMD",18,17,0.970165491739893,0.987785410974549
"LMD",18,18,0.966157395303338,0.971174154466067
"LMD",18,19,0.989720771662376,0.990399598157362
"LMD",18,20,0.950327864184887,0.976991560272868
"LMD",19,1,0.987316058344335,0.995049541535478
"LMD",19,2,0.986815259473185,0.994319970818054
"LMD",19,3,0.993928838472643,0.98786489835582
"LMD",19,4,0.970751297151103,0.986807824047334
"LMD",19,5,0.980344540563581,0.992072668728874
"LMD",19,6,0.981594836843612,0.9832578345759
"LMD",19,7,0.919453731465755,0.916015269838841
"LMD",19,8,0.991496475631158,0.991567814817502
"LMD",19,9,0.922889647461878,0.921846514623495
"LMD",19,10,0.987083835353357,0.992959171544736
"LMD",19,11,0.971105024156039,0.97300518075296
"LMD",19,12,0.965546525271332,0.98517934992601
"LMD",19,13,0.99036169347623,0.993018670863542
"LMD",19,14,0.989754594473025,0.992128465194876
"LMD",19,15,0.987917917350411,0.99396143536755
"LMD",19,16,0.919109565247668,0.944574939678225
"LMD",19,17,0.984415187278339,0.991157175419615
"LMD",19,18,0.920168345197231,0.946219249137705
"LMD",19,19,0.96323921701934,0.96850041606921
"LMD",19,20,0.948820662549772,0.960849793876807
"LMD",20,1,0.931344132473068,0.928158865429282
"LMD",20,2,0.992589852812379,0.995981794438293
"LMD",20,3,0.987098492271752,0.994086791707233
"LMD",20,4,0.995700920161238,0.99680370492328
"LMD",20,5,0.972573382753203,0.986839464217652
"LMD",20,6,0.993724342380212,0.990046229263346
"LMD",20,7,0.997975334773108,0.99868648562401
"LMD",20,8,0.995588240526823,0.996899008855673
"LMD",20,9,0.995772120687057,0.991121464031124
"LMD",20,10,0.991878063016036,0.994407114245965
"LMD",20,11,0.972076815300867,0.983087755268269
"LMD",20,12,0.972377500140926,0.986702305658231
"LMD",20,13,0.997757138050385,0.998910537757275
"LMD",20,14,0.993375308906655,0.993919437030194
"LMD",20,15,0.972700758958104,0.975219423380667
"LMD",20,16,0.921151228472675,0.921837299252583
"LMD",20,17,0.99496121984847,0.987361541704386
"LMD",20,18,0.992438351166656,0.987627281015019
"LMD",20,19,0.996255602291821,0.994556871600251
"LMD",20,20,0.994958751032545,0.98977368035524
"LMD",21,1,0.97448293787779,0.977152660431712
