"","species","family","order","morpho_FSp","morpho_FUn","morpho_FUSE","morpho_FDis","lifehistory_FSp","lifehistory_FUn","lifehistory_FUSE","lifehistory_FDis","diet_FSp","diet_FUn","diet_FUSE","diet_FDis","aggregated_FSp","aggregated_FUn","aggregated_FUSE","aggregated_FDis"
"34","Accipiter_fasciatus","Accipitridae","Accipitriformes",0.450129601525099,0.150794378116107,0.0344519922279661,0.600923979641206,0.183507468397723,0.0535771725620077,0.0137493581131114,0.237084640959731,0.712173564150748,0.418670450826766,0.0637854176480296,1.13084401497751,0.468450137429591,0.309151410009696,0.0443372897174815,0.777601547439287
"35","Accipiter_francesiae","Accipitridae","Accipitriformes",0.18326402519862,0.120411234781853,0.0123142822418981,0.303675259980473,0.14132407245547,0.049796246377514,0.00777266718021664,0.191120318832984,0.229275206213206,1.6380322958653e-13,0.00931517616110302,0.22927520621337,0.157289629343153,0.287476153057292,0.0179704347544234,0.444765782400445
"36","Accipiter_gentilis","Accipitridae","Accipitriformes",0.545689705302748,0.125236102945576,0.0346290175171099,0.670925808248324,0.276495059356893,0.0624001313903267,0.0176807347604074,0.33889519074722,0.964422049906336,8.70021405077106e-14,0.0493158197831279,0.964422049906423,0.61791815385171,0.174652352662881,0.0407490433184519,0.79257050651459
"37","Accipiter_griseiceps","Accipitridae","Accipitriformes",0.271816613308226,0.0957932231082867,0.0129171124063443,0.367609836416513,0.144245871343137,0.0616056298915916,0.00726369744701458,0.205851501234729,0.735940274423566,0.0790515118993559,0.0283120013033374,0.814991786322922,0.377929828616571,0.345334666907332,0.025183807959914,0.723264495523903
"38","Accipiter_gularis","Accipitridae","Accipitriformes",0.196331412501769,0.121142607277388,0.0171969745573908,0.317474019779157,0.144118048493297,0.0515122687988359,0.0106391753710939,0.195630317292133,0.88741106579979,3.27342106370592e-14,0.0472023071041619,0.887411065799823,0.408136648269008,0.242494918977532,0.0348676893106613,0.65063156724654
"39","Accipiter_gundlachi","Accipitridae","Accipitriformes",0.415572742304761,0.180033441493684,0.262355604301077,0.595606183798445,0.20324106008596,0.0706315561777165,0.12945855554356,0.273872616263677,0.967888377407713,1.17792711537237e-14,0.396526578983563,0.967888377407725,0.536917469818625,0.252296151024251,0.334414248517599,0.789213620842876
"40","Accipiter_haplochrous","Accipitridae","Accipitriformes",0.33839855523606,0.0614025699666315,0.0445793802380188,0.399801125202692,0.172630579674613,0.0377421044625608,0.0237092136801748,0.210372684137174,0.627551967392332,0.409555214865826,0.111712060902249,1.03710718225816,0.376311554810821,0.330542082493959,0.0774954752276323,0.70685363730478
"41","Accipiter_henstii","Accipitridae","Accipitriformes",0.517484503165242,0.121620474326426,0.143960660472737,0.639104977491668,0.257095890647471,0.0477404966233263,0.0713795208900781,0.304836387270797,0.967888377407713,1.10852662366023e-14,0.210364684329089,0.967888377407724,0.599605913313254,0.186256156767526,0.174168816903854,0.78586207008078
"42","Accipiter_imitator","Accipitridae","Accipitriformes",0.300829532015553,0.0839644513186267,0.0421257163849862,0.38479398333418,0.170477266652086,0.0663810704258855,0.02614193406611,0.236858337077971,0.586566604979695,0.292172919430772,0.0936981397850237,0.878739524410467,0.342548193166064,0.325525795980335,0.0720304496222152,0.668073989146399
"43","Accipiter_luteoschistaceus","Accipitridae","Accipitriformes",0.272430129930396,0.0822616554453737,0.0831624647013784,0.35469178537577,0.157569328432996,0.0596102610853289,0.05176209991292,0.217179589518325,0.586566604979695,0.292172919430773,0.19431628585437,0.878739524410468,0.326323954551496,0.316641571895909,0.145869528477152,0.642965526447405
"44","Accipiter_madagascariensis","Accipitridae","Accipitriformes",0.288805892761124,0.083631073122788,0.0414922126221522,0.372436965883912,0.161396172083328,0.0522233585091319,0.024011859958025,0.213619530592459,0.763003026338355,7.20890351680562e-14,0.0832073293564623,0.763003026338427,0.397753626774922,0.185653429486598,0.064243923165147,0.583407056261519
"45","Accipiter_melanochlamys","Accipitridae","Accipitriformes",0.361576938313391,0.0762518199598571,0.0213501294614919,0.437828758273248,0.177215539809587,0.032313980047461,0.0102870605787395,0.209529519857048,0.887411065799793,3.37410179671986e-14,0.0427091605252022,0.887411065799827,0.478484454226513,0.156790381647938,0.0307990319017513,0.635274835874451
